date,close,change,change_percent,direction
2019-11-12,8821.94,88.67,1.0153,up
2019-11-13,8777.12,-44.82,-0.5081,down
2019-11-14,8646.68,-130.44,-1.4861,down
2019-11-15,8471.73,-174.95,-2.0233,down
2019-11-16,8491.02,19.29,0.2277,up
2019-11-17,8502.40,11.38,0.1340,up
2019-11-18,8187.17,-315.23,-3.7075,down
2019-11-19,8133.64,-53.53,-0.6538,down
2019-11-20,8098.01,-35.63,-0.4381,down
2019-11-21,7627.74,-470.27,-5.8072,down
2019-11-22,7268.23,-359.51,-4.7132,down
2019-11-23,7311.57,43.34,0.5963,up
2019-11-24,6903.28,-408.29,-5.5842,down
2019-11-25,7109.57,206.29,2.9883,up
2019-11-26,7156.14,46.57,0.6550,up
2019-11-27,7508.52,352.38,4.9242,up
2019-11-28,7419.49,-89.03,-1.1857,down
2019-11-29,7739.68,320.19,4.3155,up
2019-11-30,7541.89,-197.79,-2.5555,down
2019-12-01,7390.89,-151.00,-2.0022,down
2019-12-02,7294.28,-96.61,-1.3071,down
2019-12-03,7292.71,-1.57,-0.0215,down
2019-12-04,7194.32,-98.39,-1.3492,down
2019-12-05,7389.00,194.68,2.7060,up
2019-12-06,7527.47,138.47,1.8740,up
2019-12-07,7488.21,-39.26,-0.5216,down
2019-12-08,7510.11,21.90,0.2925,up
2019-12-09,7338.64,-171.47,-2.2832,down
2019-12-10,7224.13,-114.51,-1.5604,down
2019-12-11,7210.00,-14.13,-0.1956,down
2019-12-12,7198.08,-11.92,-0.1653,down
2019-12-13,7258.48,60.40,0.8391,up
2019-12-14,7064.05,-194.43,-2.6787,down
2019-12-15,7118.59,54.54,0.7721,up
2019-12-16,6891.72,-226.87,-3.1870,down
2019-12-17,6623.82,-267.90,-3.8873,down
2019-12-18,7277.83,654.01,9.8736,up
2019-12-19,7150.30,-127.53,-1.7523,down
2019-12-20,7187.83,37.53,0.5249,up
2019-12-21,7132.75,-55.08,-0.7663,down
2019-12-22,7501.44,368.69,5.1690,up
2019-12-23,7317.09,-184.35,-2.4575,down
2019-12-24,7255.77,-61.32,-0.8380,down
2019-12-25,7204.63,-51.14,-0.7048,down
2019-12-26,7202.00,-2.63,-0.0365,down
2019-12-27,7254.74,52.74,0.7323,up
2019-12-28,7316.14,61.40,0.8463,up
2019-12-29,7388.24,72.10,0.9855,up
2019-12-30,7246.00,-142.24,-1.9252,down
2019-12-31,7195.23,-50.77,-0.7007,down
2020-01-01,7200.85,5.62,0.0781,up
2020-01-02,6965.71,-235.14,-3.2654,down
2020-01-03,7344.96,379.25,5.4445,up
2020-01-04,7354.11,9.15,0.1246,up
2020-01-05,7358.75,4.64,0.0631,up
2020-01-06,7758.00,399.25,5.4255,up
2020-01-07,8145.28,387.28,4.9920,up
2020-01-08,8055.98,-89.30,-1.0963,down
2020-01-09,7817.76,-238.22,-2.9571,down
2020-01-10,8197.02,379.26,4.8513,up
2020-01-11,8020.01,-177.01,-2.1594,down
2020-01-12,8184.98,164.97,2.0570,up
2020-01-13,8110.34,-74.64,-0.9119,down
2020-01-14,8810.01,699.67,8.6269,up
2020-01-15,8821.41,11.40,0.1294,up
2020-01-16,8720.01,-101.40,-1.1495,down
2020-01-17,8913.28,193.27,2.2164,up
2020-01-18,8915.96,2.68,0.0301,up
2020-01-19,8701.70,-214.26,-2.4031,down
2020-01-20,8642.35,-59.35,-0.6821,down
2020-01-21,8736.03,93.68,1.0840,up
2020-01-22,8682.36,-53.67,-0.6144,down
2020-01-23,8404.52,-277.84,-3.2001,down
2020-01-24,8439.00,34.48,0.4103,up
2020-01-25,8340.58,-98.42,-1.1663,down
2020-01-26,8615.00,274.42,3.2902,up
2020-01-27,8907.57,292.57,3.3961,up
2020-01-28,9374.21,466.64,5.2387,up
2020-01-29,9301.53,-72.68,-0.7753,down
2020-01-30,9513.21,211.68,2.2758,up
2020-01-31,9352.89,-160.32,-1.6852,down
2020-02-01,9384.61,31.72,0.3391,up
2020-02-02,9331.51,-53.10,-0.5658,down
2020-02-03,9292.24,-39.27,-0.4208,down
2020-02-04,9197.02,-95.22,-1.0247,down
2020-02-05,9612.04,415.02,4.5125,up
2020-02-06,9772.00,159.96,1.6642,up
2020-02-07,9813.73,41.73,0.4270,up
2020-02-08,9895.05,81.32,0.8286,up
2020-02-09,10151.75,256.70,2.5942,up
2020-02-10,9851.83,-299.92,-2.9544,down
2020-02-11,10223.08,371.25,3.7683,up
2020-02-12,10326.46,103.38,1.0112,up
2020-02-13,10229.63,-96.83,-0.9377,down
2020-02-14,10344.36,114.73,1.1215,up
2020-02-15,9904.72,-439.64,-4.2500,down
2020-02-16,9917.27,12.55,0.1267,up
2020-02-17,9706.00,-211.27,-2.1303,down
2020-02-18,10164.71,458.71,4.7260,up
2020-02-19,9593.79,-570.92,-5.6167,down
2020-02-20,9596.42,2.63,0.0274,up
2020-02-21,9677.05,80.63,0.8402,up
2020-02-22,9650.86,-26.19,-0.2706,down
2020-02-23,9936.40,285.54,2.9587,up
2020-02-24,9656.13,-280.27,-2.8206,down
2020-02-25,9315.84,-340.29,-3.5241,down
2020-02-26,8785.25,-530.59,-5.6956,down
2020-02-27,8823.21,37.96,0.4321,up
2020-02-28,8692.91,-130.30,-1.4768,down
2020-02-29,8523.61,-169.30,-1.9476,down
2020-03-01,8531.88,8.27,0.0970,up
2020-03-02,8915.24,383.36,4.4933,up
2020-03-03,8760.07,-155.17,-1.7405,down
2020-03-04,8750.87,-9.20,-0.1050,down
2020-03-05,9054.68,303.81,3.4718,up
2020-03-06,9131.88,77.20,0.8526,up
2020-03-07,8886.66,-245.22,-2.6853,down
2020-03-08,8033.31,-853.35,-9.6026,down
2020-03-09,7929.87,-103.44,-1.2876,down
2020-03-10,7894.56,-35.31,-0.4453,down
2020-03-11,7934.52,39.96,0.5062,up
2020-03-12,4800.00,-3134.52,-39.5048,down
2020-03-13,5578.60,778.60,16.2208,up
2020-03-14,5172.06,-406.54,-7.2875,down
2020-03-15,5361.30,189.24,3.6589,up
2020-03-16,5028.97,-332.33,-6.1987,down
2020-03-17,5312.64,283.67,5.6407,up
2020-03-18,5393.04,80.40,1.5134,up
2020-03-19,6162.37,769.33,14.2652,up
2020-03-20,6208.36,45.99,0.7463,up
2020-03-21,6186.98,-21.38,-0.3444,down
